Delivery Date,Delivery Hour,Repeated Hour Flag,dam,rtm
2022-01-01,4,N,18.56,21.63
2022-01-01,4,N,18.56,21.63
2022-01-01,4,N,18.41,21.63
2022-01-01,4,N,18.41,21.63
2022-01-01,4,N,18.41,21.63
2022-01-01,4,N,18.41,21.63
2022-01-01,4,N,18.41,21.63
2022-01-01,4,N,18.41,21.63
2022-01-01,4,N,18.41,21.63
2022-01-01,4,N,18.41,21.63
2022-01-01,4,N,18.41,21.63
2022-01-01,4,N,18.41,21.63
2022-01-01,4,N,18.41,21.63
2022-01-01,4,N,18.41,21.63
2022-01-01,4,N,18.41,21.63
2022-01-01,4,N,18.41,21.63
2022-01-01,4,N,18.41,21.63
2022-01-01,4,N,18.41,21.63
2022-01-01,4,N,15.9,21.63
2022-01-01,4,N,15.9,21.63
2022-01-01,4,N,15.9,21.63
2022-01-01,4,N,15.9,21.63
2022-01-01,4,N,15.9,21.63
2022-01-01,4,N,15.9,21.63
2022-01-01,4,N,15.9,21.63
2022-01-01,4,N,15.9,21.63
2022-01-01,4,N,15.9,21.63
2022-01-01,4,N,15.9,21.63
2022-01-01,4,N,15.9,21.63
2022-01-01,4,N,15.9,21.63
2022-01-01,4,N,15.9,21.63
2022-01-01,4,N,15.9,21.63
2022-01-01,4,N,15.9,21.63
2022-01-01,4,N,15.9,21.63
2022-01-01,4,N,16.13,21.63
2022-01-01,4,N,16.13,21.63
2022-01-01,4,N,16.13,21.63
2022-01-01,4,N,16.13,21.63
2022-01-01,4,N,16.13,21.63
2022-01-01,4,N,16.13,21.63
2022-01-01,4,N,16.13,21.63
2022-01-01,4,N,16.13,21.63
2022-01-01,4,N,16.13,21.63
2022-01-01,4,N,16.13,21.63
2022-01-01,4,N,16.13,21.63
2022-01-01,4,N,16.13,21.63
2022-01-01,4,N,16.13,21.63
2022-01-01,4,N,16.13,21.63
2022-01-01,4,N,16.13,21.63
2022-01-01,4,N,16.13,21.63
2022-01-01,5,N,12.74,15.31
2022-01-01,5,N,12.74,15.31
2022-01-01,5,N,12.74,15.31
2022-01-01,5,N,12.74,15.31
2022-01-01,5,N,12.74,15.31
2022-01-01,5,N,12.74,15.31
2022-01-01,5,N,12.74,15.31
2022-01-01,5,N,12.74,15.31
2022-01-01,5,N,12.74,15.31
2022-01-01,5,N,12.74,15.31
2022-01-01,5,N,12.74,15.31
2022-01-01,5,N,12.74,15.31
2022-01-01,5,N,12.74,15.31
2022-01-01,5,N,12.74,15.31
2022-01-01,5,N,12.74,15.31
2022-01-01,5,N,12.74,15.31
2022-01-01,5,N,12.19,15.31
2022-01-01,5,N,12.19,15.31
2022-01-01,5,N,12.19,15.31
2022-01-01,5,N,12.19,15.31
2022-01-01,5,N,12.19,15.31
2022-01-01,5,N,12.19,15.31
