date,tb2_revenue
1/12/2022 5:30,2.22
1/12/2022 5:45,1.02
1/13/2022 0:00,1.5
1/13/2022 0:15,0.82
1/13/2022 0:30,0.34
1/13/2022 0:45,0.16
1/13/2022 1:00,0.18
1/13/2022 1:15,0.84
1/13/2022 1:30,0.7
1/13/2022 1:45,2.74
1/13/2022 2:00,2.36
1/13/2022 2:15,0.38
1/13/2022 2:30,0.48
1/13/2022 2:45,0.54
1/13/2022 3:00,0.5
1/13/2022 3:15,0.18
1/13/2022 3:30,0.94
1/13/2022 3:45,0.66
1/13/2022 4:00,3.56
1/13/2022 4:15,0.32
1/13/2022 4:30,0.6
1/13/2022 4:45,0.36
1/13/2022 5:00,0.28
1/13/2022 5:15,1.22
1/13/2022 5:30,0.08
1/13/2022 5:45,0.12
1/14/2022 0:00,0.12
1/14/2022 0:15,0.12
1/14/2022 0:30,0.12
1/14/2022 0:45,0.14
1/14/2022 1:00,0.18
1/14/2022 1:15,0.16
1/14/2022 1:30,1.46
1/14/2022 1:45,0.46
1/14/2022 2:00,5.34
1/14/2022 2:15,19.32
1/14/2022 2:30,14.42
1/14/2022 2:45,18.34
1/14/2022 3:00,40.6
1/14/2022 3:15,46.4
1/14/2022 3:30,46.06
1/14/2022 3:45,41.18
1/14/2022 4:00,10.2
1/14/2022 4:15,3.08
1/14/2022 4:30,4.62
1/14/2022 4:45,33.76
1/14/2022 5:00,52.12
1/14/2022 5:15,50.36
1/14/2022 5:30,43.9
1/14/2022 5:45,36.24
1/15/2022 0:00,30.82
1/15/2022 0:15,31.02
1/15/2022 0:30,32.24
1/15/2022 0:45,31.28
1/15/2022 1:00,35.46
1/15/2022 1:15,34.94
1/15/2022 1:30,57.52
1/15/2022 1:45,52.76
1/15/2022 2:00,55.14
1/15/2022 2:15,58.78
1/15/2022 2:30,64.14
1/15/2022 2:45,65.58
1/15/2022 3:00,59.6
1/15/2022 3:15,53.48
1/15/2022 3:30,52.88
1/15/2022 3:45,51.8
1/15/2022 4:00,47.72
1/15/2022 4:15,25.78
1/15/2022 4:30,20.3
1/15/2022 4:45,16.8
1/15/2022 5:00,15.52
1/15/2022 5:15,16.48
1/15/2022 5:30,16.36
1/15/2022 5:45,17.32
1/16/2022 0:00,12.06
1/16/2022 0:15,11.1
1/16/2022 0:30,10.9
1/16/2022 0:45,11.04
1/16/2022 1:00,7.36
1/16/2022 1:15,5.52
1/16/2022 1:30,11.72
1/16/2022 1:45,11.7
1/16/2022 2:00,5.82
1/16/2022 2:15,0.78
1/16/2022 2:30,0.12
1/16/2022 2:45,0.14
1/16/2022 3:00,0.28
1/16/2022 3:15,0.42
1/16/2022 3:30,0.28
1/16/2022 3:45,0.18
1/16/2022 4:00,0.16
1/16/2022 4:15,4.42
1/16/2022 4:30,2.66
1/16/2022 4:45,0.86
1/16/2022 5:00,0.78
1/16/2022 5:15,0.74
1/16/2022 5:30,0.36
1/16/2022 5:45,0.28
1/17/2022 0:00,2.76
1/17/2022 0:15,3.26
1/17/2022 0:30,1.98
1/17/2022 0:45,0.62
1/17/2022 1:00,0.02
1/17/2022 1:15,0.04
1/17/2022 1:30,1.1
1/17/2022 1:45,5.18
1/17/2022 2:00,2.02
1/17/2022 2:15,1.54
1/17/2022 2:30,1.32
1/17/2022 2:45,1.74
1/17/2022 3:00,2.54
1/17/2022 3:15,2.08
1/17/2022 3:30,2.34
1/17/2022 3:45,2.3
1/17/2022 4:00,2.46
1/17/2022 4:15,2.24
1/17/2022 4:30,2.82
1/17/2022 4:45,8.48
1/17/2022 5:00,26.48
1/17/2022 5:15,39.3
1/17/2022 5:30,53.74
1/17/2022 5:45,44.32
1/18/2022 0:00,41.7
1/18/2022 0:15,41.32
1/18/2022 0:30,41.66
1/18/2022 0:45,42.26
1/18/2022 1:00,44.98
